sku_id,sku_name,sku_code,brand_id,category_l1_id,category_l2_id,category_l3_id,spec,unit,unit_cost,supplier_id,shelf_life_days,is_perishable,sku_status,created_time,updated_time,etl_time,dt
1001,农夫山泉550ml*12瓶,1001,1,1,10102,1010101,1L*6瓶,包,148.61,5,119,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1002,怡宝纯净水350ml*24瓶,1002,1,1,10101,1010101,1L*6瓶,箱,114.44,5,459,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1003,可口可乐330ml*24罐,1003,5,2,10201,1020101,5L*4桶,桶,71.35,2,250,0,0,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1004,百事可乐330ml*24罐,1004,3,1,10101,1010102,500ml*12瓶,瓶,170.26,5,300,0,2,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1005,蒙牛纯牛奶250ml*24盒,1005,4,3,10301,1030201,500ml*12瓶,瓶,166.73,5,400,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1006,伊利安慕希205g*12盒,1006,1,1,10101,1010102,500ml*12瓶,包,173.96,4,314,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1007,康师傅红烧牛肉面袋装*24,1007,3,1,10102,1010102,1L*6瓶,瓶,141.85,1,653,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1008,统一老坛酸菜面*24,1008,5,3,10301,1030101,100g*24包,桶,57.64,5,254,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1009,奥利奥饼干116g*24盒,1009,1,1,10101,1010102,100g*24包,瓶,17.91,5,352,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1010,乐事薯片70g*24袋,1010,4,2,10202,1020101,250ml*24盒,包,53.09,5,581,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1011,海飞丝去屑洗发水750ml,1011,5,2,10202,1020201,1L*6瓶,包,104.36,1,78,1,2,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1012,潘婷洗发水750ml,1012,2,3,10301,1030201,2kg*6袋,箱,80.03,5,509,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1013,舒肤佳香皂115g*72块,1013,5,1,10101,1010201,2kg*6袋,瓶,154.88,3,144,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1014,蓝月亮洗衣液3kg*4桶,1014,2,2,10201,1020201,2kg*6袋,包,104.00,1,670,0,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
1015,立白洗洁精1.5kg*6瓶,1015,5,3,10301,1030101,250ml*24盒,包,110.18,5,30,1,1,"2026-01-01 00:00:00","2026-09-04 00:00:00","2026-09-04 12:34:54",2026-09-04
